               Entry              Nevents                           Time                    Temperature                         Energy               C_Pt*               CO_Pt*                 CO2*              CHO_Pt*                   H*                H_Pt*              COH_Pt*             COOH_Pt*               OH_Pt*                 COH*                   O*               CH_Pt*                O_Pt*                  CO*                   C*                 CH3*                COOH*              CH2_Pt*              CH3_Pt*                 CH2*              CO2_Pt*                 CHO*                 H2O*                  CH*                  OH*              H2O_Pt*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         1.0080809706448112E-05         1.0000000000000000E+03        -1.6064349999998925E+02                   7                    2                   52                    0                   24                    1                    0                    0                    0                    0                   24                    0                    0                    4                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    1                    0                  -11                    0                   23                    7                  -79                    0
                   3               200000         1.2866089078805089E-05         1.0000000000000000E+03        -1.6953499999998920E+02                   6                    4                   54                    0                   26                    1                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    1                    0                  -12                    0                   24                    7                  -82                    0
                   4               300000         1.3413758880519558E-05         1.0000000000000000E+03        -1.6733599999998918E+02                   6                    4                   53                    0                   26                    1                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    1                    0                  -12                    0                   24                    7                  -81                    0
                   5               400000         1.3742357875019419E-05         1.0000000000000000E+03        -1.7019499999998919E+02                   6                    4                   54                    0                   26                    2                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    2                    0                    0                    0                    0                    0                    1                    1                    0                  -12                    0                   24                    7                  -82                    0
                   6               500000         1.3943065327517366E-05         1.0000000000000000E+03        -1.6351599999998919E+02                   6                    4                   51                    0                   26                    2                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    2                    0                    0                    0                    0                    0                    1                    1                    0                  -12                    0                   24                    7                  -79                    0
                   7               600000         1.4144700019621871E-05         1.0000000000000000E+03        -1.6395699999998916E+02                   6                    4                   51                    0                   26                    2                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    2                    0                    0                    0                    0                    0                    1                    1                    0                  -12                    0                   24                    7                  -79                    0
                   8               700000         1.4346356000246097E-05         1.0000000000000000E+03        -1.6753799999998918E+02                   6                    4                   53                    0                   26                    2                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    2                    0                    0                    0                    0                    0                    1                    1                    0                  -12                    0                   24                    7                  -81                    0
                   9               800000         1.4549729146148791E-05         1.0000000000000000E+03        -1.6798999999998918E+02                   6                    4                   53                    0                   26                    2                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    2                    0                    0                    0                    0                    0                    1                    1                    0                  -12                    0                   24                    7                  -81                    0
                  10               900000         1.4751415421491609E-05         1.0000000000000000E+03        -1.6794399999998919E+02                   6                    4                   53                    0                   26                    2                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    2                    0                    0                    0                    0                    0                    1                    1                    0                  -12                    0                   24                    7                  -81                    0
                  11              1000000         1.4952681493603080E-05         1.0000000000000000E+03        -1.6991499999998919E+02                   6                    4                   54                    0                   26                    2                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    2                    0                    0                    0                    0                    0                    1                    1                    0                  -12                    0                   24                    7                  -82                    0
                  12              1100000         1.5327565039576557E-05         1.0000000000000000E+03        -1.7012199999998919E+02                   6                    4                   54                    0                   26                    2                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    2                    0                    0                    0                    0                    0                    1                    1                    0                  -12                    0                   24                    7                  -82                    0
                  13              1200000         1.5703437494029206E-05         1.0000000000000000E+03        -1.6811199999998919E+02                   6                    4                   53                    0                   26                    2                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    2                    0                    0                    0                    0                    0                    1                    1                    0                  -12                    0                   24                    7                  -81                    0
                  14              1300000         1.6080433548659520E-05         1.0000000000000000E+03        -1.6560999999998918E+02                   6                    4                   52                    0                   26                    1                    0                    0                    0                    0                   24                    0                    0                    3                    0                    0                    0                    1                    1                    0                    0                    0                    0                    1                    1                    0                  -12                    0                   24                    7                  -80                    0
                  15              1400000         1.6729619313050057E-05         1.0000000000000000E+03        -1.6738499999998916E+02                   6                    4                   52                    0                   28                    1                    0                    0                    0                    0                   23                    0                    0                    3                    0                    0                    0                    3                    0                    0                    0                    0                    0                    1                    2                    0                  -13                    0                   24                    7                  -80                    0
                  16              1500000         1.7275019111532696E-05         1.0000000000000000E+03        -1.6703699999998921E+02                   6                    4                   52                    0                   28                    1                    0                    0                    0                    0                   23                    0                    0                    2                    0                    0                    0                    3                    0                    0                    0                    0                    0                    1                    2                    0                  -13                    0                   25                    7                  -80                    0
                  17              1600000         1.8409432779078700E-05         1.0000000000000000E+03        -1.6774799999998922E+02                   6                    4                   52                    0                   27                    2                    0                    0                    0                    0                   22                    0                    0                    2                    0                    0                    0                    3                    0                    2                    0                    0                    0                    0                    3                    0                  -14                    0                   25                    7                  -80                    0
                  18              1700000         2.1260236717586501E-05         1.0000000000000000E+03        -1.6645199999998917E+02                   6                    4                   52                    0                   27                    2                    0                    0                    0                    0                   23                    0                    0                    2                    1                    0                    0                    3                    0                    2                    0                    0                    0                    0                    3                    0                  -15                    0                   26                    9                  -81                    0
                  19              1800000         2.2772903780630760E-05         1.0000000000000000E+03        -1.7230099999998922E+02                   6                    4                   54                    0                   28                    1                    0                    0                    0                    0                   22                    0                    0                    1                    0                    0                    0                    3                    0                    2                    0                    0                    0                    0                    3                    0                  -15                    0                   28                    9                  -83                    0
                  20              1900000         2.3284876719971177E-05         1.0000000000000000E+03        -1.6560099999998917E+02                   6                    4                   51                    0                   30                    0                    0                    0                    0                    0                   22                    0                    0                    1                    0                    0                    0                    3                    0                    1                    0                    0                    0                    1                    3                    0                  -15                    0                   28                    9                  -80                    0
                  21              2000000         2.3713959215430834E-05         1.0000000000000000E+03        -1.7217999999998923E+02                   6                    4                   54                    0                   28                    1                    0                    0                    0                    0                   22                    0                    0                    1                    0                    0                    0                    3                    0                    2                    0                    0                    0                    0                    3                    0                  -15                    0                   28                    9                  -83                    0
                  22              2100000         2.4294965817470547E-05         1.0000000000000000E+03        -1.6647499999998917E+02                   6                    4                   52                    0                   29                    0                    0                    0                    0                    0                   22                    0                    0                    1                    0                    0                    0                    3                    0                    0                    0                    0                    0                    2                    3                    0                  -15                    0                   28                   10                  -81                    0
                  23              2200000         2.4793772413989599E-05         1.0000000000000000E+03        -1.6875199999998924E+02                   6                    4                   53                    0                   28                    0                    0                    0                    0                    0                   22                    0                    0                    1                    0                    0                    0                    3                    0                    1                    0                    0                    0                    1                    3                    0                  -15                    0                   28                   10                  -82                    0
                  24              2300000         2.5391903400944589E-05         1.0000000000000000E+03        -1.6231599999998920E+02                   6                    4                   51                    0                   27                    0                    0                    0                    0                    0                   22                    0                    0                    1                    0                    0                    0                    2                    0                    1                    0                    0                    0                    2                    3                    0                  -15                    0                   28                   11                  -80                    0
                  25              2400000         2.6136671257775769E-05         1.0000000000000000E+03        -1.6732999999998927E+02                   6                    4                   53                    0                   27                    1                    0                    0                    0                    0                   22                    0                    0                    1                    0                    0                    0                    3                    0                    2                    0                    0                    0                    1                    3                    0                  -16                    0                   28                   11                  -82                    0
                  26              2500000         2.6988813919414136E-05         1.0000000000000000E+03        -1.6758899999998923E+02                   6                    4                   53                    0                   27                    1                    0                    0                    0                    0                   22                    0                    0                    1                    0                    0                    0                    3                    0                    2                    0                    0                    0                    1                    3                    0                  -16                    0                   28                   11                  -82                    0
                  27              2600000         2.7934879584083083E-05         1.0000000000000000E+03        -1.6162799999998916E+02                   6                    4                   50                    0                   28                    1                    0                    0                    0                    0                   21                    0                    0                    1                    0                    0                    0                    2                    0                    1                    0                    0                    0                    3                    4                    0                  -16                    0                   28                   11                  -79                    0
                  28              2700000         2.8456659027319743E-05         1.0000000000000000E+03        -1.6604099999998911E+02                   6                    4                   52                    0                   28                    2                    0                    0                    0                    0                   21                    0                    0                    1                    0                    0                    0                    2                    0                    0                    0                    0                    0                    4                    4                    0                  -16                    0                   28                   11                  -81                    0
                  29              2800000         2.9264374618524315E-05         1.0000000000000000E+03        -1.6438299999998915E+02                   6                    4                   52                    0                   28                    0                    0                    0                    0                    0                   21                    0                    0                    1                    1                    0                    0                    3                    0                    0                    0                    0                    0                    2                    4                    0                  -16                    0                   28                   12                  -81                    0
                  30              2900000         3.0003059515771113E-05         1.0000000000000000E+03        -1.7041499999998919E+02                   6                    4                   54                    0                   28                    0                    0                    0                    0                    0                   22                    0                    0                    1                    1                    0                    0                    3                    0                    0                    0                    0                    0                    2                    4                    0                  -16                    0                   29                   12                  -84                    0
                  31              3000000         3.0738622527849775E-05         1.0000000000000000E+03        -1.6806499999998920E+02                   6                    4                   53                    0                   28                    0                    0                    0                    0                    0                   22                    0                    0                    1                    1                    0                    0                    3                    0                    0                    0                    0                    0                    2                    4                    0                  -16                    0                   29                   12                  -83                    0
                  32              3100000         3.1619779331130388E-05         1.0000000000000000E+03        -1.6748899999998906E+02                   6                    3                   53                    0                   29                    0                    0                    0                    0                    0                   21                    0                    0                    1                    2                    0                    0                    2                    0                    0                    0                    0                    0                    2                    5                    0                  -16                    0                   30                   12                  -83                    0
                  33              3200000         3.2574720607738360E-05         1.0000000000000000E+03        -1.6641849999998908E+02                   7                    3                   53                    0                   29                    0                    0                    0                    0                    0                   21                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    3                    4                    0                  -16                    0                   30                   12                  -83                    1
                  34              3300000         3.3525506829569079E-05         1.0000000000000000E+03        -1.6655449999998908E+02                   7                    3                   53                    0                   29                    0                    0                    0                    0                    0                   21                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    3                    4                    0                  -16                    0                   30                   12                  -83                    1
                  35              3400000         3.4467855361925848E-05         1.0000000000000000E+03        -1.6653949999998909E+02                   7                    3                   53                    0                   29                    0                    0                    0                    0                    0                   21                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    3                    4                    0                  -16                    0                   30                   12                  -83                    1
                  36              3500000         3.5360658947157704E-05         1.0000000000000000E+03        -1.6137449999998913E+02                   7                    3                   51                    0                   29                    0                    0                    0                    0                    0                   21                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    3                    4                    0                  -16                    0                   30                   12                  -81                    1
                  37              3600000         3.6600699471397539E-05         1.0000000000000000E+03        -1.6647149999998911E+02                   7                    3                   53                    0                   29                    0                    0                    0                    0                    0                   21                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    3                    4                    0                  -16                    0                   30                   12                  -83                    1
                  38              3700000         3.7718568021330594E-05         1.0000000000000000E+03        -1.6570849999998913E+02                   7                    3                   53                    0                   28                    1                    0                    0                    0                    0                   21                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    3                    4                    0                  -16                    0                   30                   12                  -83                    1
                  39              3800000         3.8904843741178303E-05         1.0000000000000000E+03        -1.6188949999998911E+02                   7                    3                   51                    0                   29                    0                    0                    0                    0                    0                   21                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    3                    4                    0                  -16                    0                   30                   12                  -81                    1
                  40              3900000         4.0283181372786006E-05         1.0000000000000000E+03        -1.5967349999998910E+02                   7                    3                   50                    0                   28                    0                    0                    0                    0                    0                   21                    0                    0                    1                    1                    0                    0                    2                    0                    0                    0                    0                    0                    2                    4                    0                  -16                    0                   30                   12                  -80                    1
                  41              4000000         4.1705395346063566E-05         1.0000000000000000E+03        -1.6633449999998911E+02                   7                    3                   53                    0                   28                    0                    0                    0                    0                    0                   21                    0                    0                    1                    1                    0                    0                    2                    0                    0                    0                    0                    0                    2                    4                    0                  -16                    0                   30                   12                  -83                    1
                  42              4100000         4.3238801554545633E-05         1.0000000000000000E+03        -1.6765649999998922E+02                   7                    3                   54                    0                   27                    1                    0                    0                    0                    0                   21                    0                    0                    1                    1                    0                    0                    1                    0                    1                    0                    0                    0                    2                    4                    0                  -16                    0                   30                   12                  -84                    1
                  43              4200000         4.4516719296279073E-05         1.0000000000000000E+03        -1.6516499999998911E+02                   6                    4                   52                    0                   30                    1                    0                    0                    0                    0                   20                    0                    0                    1                    1                    0                    0                    2                    0                    0                    0                    0                    0                    3                    4                    0                  -17                    0                   30                   12                  -82                    1
                  44              4300000         4.6211116965085324E-05         1.0000000000000000E+03        -1.7036499999998910E+02                   6                    4                   54                    0                   31                    1                    0                    0                    0                    0                   19                    0                    0                    1                    1                    0                    0                    2                    0                    0                    0                    0                    0                    2                    4                    0                  -17                    0                   31                   12                  -84                    1
                  45              4400000         4.7748492042993112E-05         1.0000000000000000E+03        -1.6893499999998909E+02                   6                    4                   53                    0                   31                    1                    0                    0                    0                    0                   19                    0                    0                    1                    1                    0                    0                    2                    0                    0                    0                    0                    0                    2                    4                    0                  -17                    0                   31                   12                  -83                    1
                  46              4500000         4.9251557939061597E-05         1.0000000000000000E+03        -1.7057699999998911E+02                   6                    4                   54                    0                   31                    1                    0                    0                    0                    0                   19                    0                    0                    1                    1                    0                    0                    2                    0                    0                    0                    0                    0                    2                    4                    0                  -17                    0                   31                   12                  -84                    1
                  47              4600000         5.1178901529954087E-05         1.0000000000000000E+03        -1.6848699999998908E+02                   6                    4                   53                    0                   31                    1                    0                    0                    0                    0                   19                    0                    0                    1                    1                    0                    0                    2                    0                    0                    0                    0                    0                    2                    4                    0                  -17                    0                   31                   12                  -83                    1
                  48              4700000         5.2999905864192277E-05         1.0000000000000000E+03        -1.6630299999998908E+02                   6                    4                   52                    0                   31                    1                    0                    0                    0                    0                   19                    0                    0                    1                    1                    0                    0                    2                    0                    0                    0                    0                    0                    2                    4                    0                  -17                    0                   31                   12                  -82                    1
                  49              4800000         5.4532176159045209E-05         1.0000000000000000E+03        -1.6978399999998922E+02                   6                    4                   54                    0                   30                    2                    0                    0                    0                    0                   19                    0                    0                    0                    1                    0                    0                    1                    0                    1                    0                    0                    0                    2                    4                    0                  -17                    0                   32                   12                  -84                    1
                  50              4900000         5.6371656671332490E-05         1.0000000000000000E+03        -1.6413999999998913E+02                   6                    4                   51                    0                   31                    1                    0                    0                    0                    0                   19                    0                    0                    0                    1                    0                    0                    2                    0                    0                    0                    0                    0                    2                    4                    0                  -17                    0                   32                   12                  -81                    1
                  51              5000000         5.8305709204140041E-05         1.0000000000000000E+03        -1.6519899999998916E+02                   6                    4                   52                    0                   31                    1                    0                    0                    0                    0                   19                    0                    0                    0                    1                    0                    0                    2                    0                    0                    0                    0                    0                    2                    4                    0                  -17                    0                   32                   12                  -82                    1
                  52              5100000         6.0018367757999198E-05         1.0000000000000000E+03        -1.6489099999998919E+02                   6                    4                   52                    0                   29                    4                    0                    0                    0                    0                   20                    0                    0                    0                    2                    0                    0                    1                    0                    0                    0                    0                    0                    3                    4                    0                  -18                    0                   33                   14                  -83                    1
                  53              5200000         6.1547706635309835E-05         1.0000000000000000E+03        -1.5933899999998914E+02                   6                    4                   51                    0                   30                    0                    0                    0                    0                    0                   21                    0                    0                    0                    2                    0                    0                    2                    0                    0                    0                    0                    0                    3                    3                    0                  -19                    0                   33                   17                  -82                    1
                  54              5300000         6.3178998738254815E-05         1.0000000000000000E+03        -1.6619449999998918E+02                   7                    3                   54                    0                   28                    1                    0                    0                    0                    0                   19                    0                    0                    0                    1                    0                    0                    1                    0                    0                    0                    0                    0                    4                    5                    0                  -19                    0                   34                   17                  -85                    1
                  55              5400000         6.4239927297750216E-05         1.0000000000000000E+03        -1.6840349999998921E+02                   7                    3                   54                    0                   28                    1                    0                    0                    0                    0                   20                    0                    0                    0                    1                    0                    0                    1                    0                    0                    0                    0                    0                    4                    5                    0                  -19                    0                   35                   17                  -86                    1
